PacketCounter,SampleTimeFine,Pelvis_Acc_X,Pelvis_Acc_Y,Pelvis_Acc_Z,Pelvis_Gyr_X,Pelvis_Gyr_Y,Pelvis_Gyr_Z,RT_Acc_X,RT_Acc_Y,RT_Acc_Z,RT_Gyr_X,RT_Gyr_Y,RT_Gyr_Z,LT_Acc_X,LT_Acc_Y,LT_Acc_Z,LT_Gyr_X,LT_Gyr_Y,LT_Gyr_Z,RS_Acc_X,RS_Acc_Y,RS_Acc_Z,RS_Gyr_X,RS_Gyr_Y,RS_Gyr_Z,LS_Acc_X,LS_Acc_Y,LS_Acc_Z,LS_Gyr_X,LS_Gyr_Y,LS_Gyr_Z
52377,0,12.144602,-4.346732,5.214686,-0.200388,0.574043,0.814829,12.67517,-8.074461,0.426569,-0.321239,0.845498,-0.048981,30.484605,17.444146,26.042348,-0.414623,0.743873,0.203707,16.561651,-4.022601,-5.157013,-0.433066,0.797579,-1.87601,10.650595,-5.125802,-8.567418,-2.998863,-1.761203,1.624423
52378,0,21.146213,-9.884377,6.431139,0.41119,0.832566,0.11181,12.782714,-6.579511,1.467388,0.243078,1.172817,0.700165,18.323872,9.582756,6.140858,-1.218359,0.067292,-0.112612,15.167049,0.103561,-4.901493,-0.202233,0.486069,-2.554065,18.94799,-13.920863,4.571659,-1.197909,-2.453962,2.192656
52379,0,14.642948,-4.181161,2.383311,0.185051,0.031586,0.352021,12.842564,-1.480877,1.629956,0.611258,1.33765,1.417763,6.332179,-24.011491,-9.133302,-0.965322,0.341496,-0.312199,13.8358,5.843684,-4.830169,-0.79888,0.058714,-2.868184,4.311194,-2.391807,-2.318319,1.871109,-1.909909,1.849134
52380,0,6.799023,5.384312,3.884666,0.059739,-0.122109,0.760465,12.470614,3.493416,0.35007,0.345744,1.225956,1.721168,-4.594751,-16.490214,-6.02242,2.549618,-0.352737,-0.869711,13.628179,7.2303,-4.403421,-1.668065,-0.198579,-2.777591,9.881734,3.507603,-9.623478,-0.097625,-1.881995,1.5343
52381,0,5.490816,3.564734,4.243229,0.319978,0.103112,0.535586,13.144528,5.085263,0.915353,-0.317588,0.878489,1.770712,7.348605,-1.365484,-13.838744,4.15107,-0.935865,-0.043497,13.831185,7.778744,-3.196981,-1.831609,-0.140092,-2.569266,10.861361,-7.108809,-6.927299,-0.000458,-1.307763,1.170543
52382,0,13.17081,-3.066886,4.745916,0.501826,0.163308,0.316774,14.863588,3.217478,1.366317,-0.235417,0.619501,2.014723,17.349049,5.762993,-8.14354,2.553283,-0.741984,0.620896,12.087184,0.617096,-1.520706,-1.594634,-0.002632,-2.10222,11.722332,-1.573351,-6.305351,0.288281,-0.829595,0.761387
52383,0,17.88761,-6.117041,3.721028,0.625309,0.304529,0.284273,14.093652,2.85344,-0.025717,0.108153,0.303973,2.245007,12.500322,0.981957,-4.951409,1.138035,-0.994179,0.604724,5.463059,0.310608,-1.916063,-0.406396,-0.276958,-1.772073,11.995934,-3.124207,-2.934298,0.104485,-0.585026,0.491184
52384,0,15.033074,-4.40917,2.404626,0.65495,0.054932,0.486149,12.135698,4.825097,2.33077,0.289666,0.065235,2.180908,11.807265,-1.357213,-3.931265,0.887971,-0.938898,0.801795,4.578071,1.017325,-0.885749,0.177501,-0.607691,-0.999314,10.699826,-2.394248,-2.829002,0.33806,-0.362436,0.259095
52385,0,10.47288,-1.963804,2.137286,0.737465,-0.110208,0.622108,11.683276,5.026672,1.627938,0.36211,-0.008126,2.069197,10.125164,0.801331,-3.284608,0.657822,-0.937408,0.882132,3.752928,3.26371,0.493361,-0.281871,-0.980084,-0.179903,9.752886,0.215741,-3.138263,0.294915,-0.261384,0.089722
52386,0,8.357706,-0.607212,1.892743,0.700271,-0.142709,0.608145,11.72018,3.844895,1.207195,0.373094,0.226145,1.885152,9.099616,2.925282,-1.910136,0.367135,-1.019921,0.901357,2.671218,2.211427,2.520128,-0.827089,-1.169507,0.72695,9.481877,0.749792,-2.34391,0.365411,-0.158272,0.014648
